Point,RP,Stage,Site,MZ,Experiment,Block,Treatment,NNI,WDI,B2,B3,B4,B5,B6,B7,B8,B11,B12,B8A
59,NRP,V14,1,M,4,3,120N,0.982,0.962,0.0255,0.0492,0.0288,0.07,0.2676,0.3662,0.3734,0.1911,0.0972,0.3839
60,NRP,V14,1,M,4,3,180N,1.054,1.045,0.0209,0.0433,0.0219,0.0615,0.2704,0.3858,0.3964,0.1776,0.0859,0.4037
61,NRP,V14,2,H,5,1,180N,1.237,1.099,0.0246,0.0455,0.029,0.0666,0.2511,0.369,0.3877,0.169,0.088,0.3918
62,NRP,V14,2,H,5,1,240N,0.862,1.233,0.0237,0.0427,0.0261,0.0599,0.2474,0.3713,0.3847,0.1619,0.0808,0.3945
63,NRP,V14,2,H,5,1,0N,0.384,1.078,0.0269,0.0529,0.0316,0.0737,0.2662,0.3599,0.3726,0.1723,0.09,0.3795
64,NRP,V14,2,H,5,1,120N,0.839,1.171,0.0224,0.0421,0.0247,0.0576,0.2464,0.3629,0.3771,0.1587,0.0795,0.3855
65,NRP,V14,2,H,5,1,60N,0.913,0.862,0.021,0.0408,0.0217,0.0562,0.2531,0.3762,0.3895,0.1517,0.0731,0.3954
66,NRP,V14,2,H,5,2,240N,1.12,1.083,0.0225,0.0408,0.0256,0.058,0.2445,0.3729,0.3867,0.1591,0.0793,0.394
67,NRP,V14,2,H,5,2,120N,0.844,1.15,0.0227,0.042,0.0247,0.0582,0.2492,0.3733,0.3871,0.1584,0.0788,0.3924
68,NRP,V14,2,H,5,2,180N,1.053,1.148,0.0229,0.0413,0.0263,0.059,0.2441,0.3617,0.3731,0.1612,0.0815,0.3821
69,NRP,V14,2,H,5,2,60N,0.986,0.946,0.025,0.0451,0.0282,0.0642,0.2461,0.3484,0.3643,0.1674,0.0874,0.3702
70,NRP,V14,2,H,5,2,0N,0.554,0.762,0.0254,0.0499,0.0282,0.071,0.2644,0.3598,0.3739,0.1669,0.0848,0.3812
71,NRP,V14,2,H,5,3,0N,0.618,1.038,0.0266,0.0524,0.0316,0.0754,0.2673,0.3616,0.3759,0.1714,0.0905,0.3836
72,NRP,V14,2,H,5,3,240N,0.994,1.203,0.0223,0.0409,0.025,0.0573,0.2458,0.3681,0.3812,0.1602,0.0798,0.3892
73,NRP,V14,2,H,5,3,60N,1.134,1.102,0.019,0.0378,0.0196,0.0532,0.2547,0.3979,0.4149,0.145,0.0682,0.4183
74,NRP,V14,2,H,5,3,120N,0.924,1.067,0.0224,0.0419,0.025,0.0593,0.2472,0.3643,0.3797,0.1596,0.0804,0.387
75,NRP,V14,2,H,5,3,180N,0.82,1.099,0.0244,0.044,0.0277,0.0614,0.2455,0.357,0.3705,0.1653,0.0844,0.3786
76,NRP,V14,2,L,6,1,180N,1.05,0.834,0.0306,0.0492,0.0384,0.07,0.2333,0.3275,0.341,0.1914,0.1074,0.3518
77,NRP,V14,2,L,6,1,240N,1.602,0.97,0.02878,0.046742222,0.033993333,0.06668,0.2345,0.33394,0.348217778,0.187902222,0.102886667,0.356873333
78,NRP,V14,2,L,6,1,0N,0.34,1.034,0.0329,0.0578,0.0414,0.0846,0.2517,0.3257,0.3386,0.2035,0.1167,0.3489
79,NRP,V14,2,L,6,1,120N,1.226,1.109,0.0343,0.0528,0.0446,0.075,0.233,0.325,0.3361,0.1985,0.1168,0.3479
80,NRP,V14,2,L,6,1,60N,0.792,0.78,0.0369,0.0578,0.0496,0.084,0.229,0.2988,0.312,0.2111,0.1288,0.3233
81,NRP,V14,2,L,6,2,240N,1.158,1.169,0.0266,0.0448,0.032,0.0637,0.2395,0.3453,0.3603,0.1808,0.095,0.3692
82,NRP,V14,2,L,6,2,120N,1.1,1.083,0.0282,0.0476,0.0341,0.0678,0.2421,0.344,0.3563,0.1848,0.0997,0.3655
83,NRP,V14,2,L,6,2,180N,1.22,1.043,0.0346,0.0553,0.0456,0.0802,0.2294,0.3051,0.3178,0.2065,0.1249,0.3263
84,NRP,V14,2,L,6,2,60N,0.976,1.061,0.0311,0.0537,0.039,0.0765,0.2396,0.3219,0.336,0.1964,0.1122,0.345
